Score,Time,Summary,Text,Sentiment,Cleaned_Text,Processed_Text,Detected_Emotions,Activation_Levels,Confidence_Scores,Sentiment_Score,Sub_Topic,Main_Topic,Adorescore
5,2010-08-27,"My cats LOVE this ""diet"" food better than their regular food","One of my boys needed to lose some weight and the other didn't.  I put this food on the floor for the chubby guy, and the protein-rich, no by-product food up higher where only my skinny boy can jump.  The higher food sits going stale.  They both really go for this food.  And my chubby boy has been losing about an ounce a week.",Positive,one of my boys needed to lose some weight and the other didn t i put this food on the floor for the chubby guy and the protein rich no by product food up higher where only my skinny boy can jump the higher food sits going stale they both really go for this food and my chubby boy has been losing about an ounce a week,one boy needed lose weight put food floor chubby guy protein rich product food higher skinny boy jump higher food sits going stale really go food chubby boy losing ounce week,"joy, sadness, neutral","Low, Low, Low","0.362, 0.273, 0.216",-0.1779,"cat, food, felidae, holistic, old, dry, year, much, vet, eat",Defective Item,2.966666666666665
1,2012-06-13,My Cats Are Not Fans of the New Food,"My cats have been happily eating Felidae Platinum for more than two years. I just got a new bag and the shape of the food is different. They tried the new food when I first put it in their bowls and now the bowls sit full and the kitties will not touch the food. I've noticed similar reviews related to formula changes in the past. Unfortunately, I now need to find a new food that my cats will eat.",Negative,my cats have been happily eating felidae platinum for more than two years i just got a new bag and the shape of the food is different they tried the new food when i first put it in their bowls and now the bowls sit full and the kitties will not touch the food i ve noticed similar reviews related to formula changes in the past unfortunately i now need to find a new food that my cats will eat,cat happily eating felidae platinum two year got new bag shape food different tried new food first put bowl bowl sit full kitty touch food noticed similar review related formula change past unfortunately need find new food cat eat,"sadness, surprise, joy","Low, Low, Low","0.413, 0.363, 0.109",0.296,"cat, food, felidae, holistic, old, dry, year, much, vet, eat",Replacement Process,-2.873333333333333
4,2010-11-05,fresh and greasy!,good flavor! these came securely packed... they were fresh and delicious! i love these Twizzlers!,Positive,good flavor these came securely packed they were fresh and delicious i love these twizzlers,good flavor came securely packed fresh delicious love twizzlers,"joy, neutral, surprise","High, Low, Low","0.788, 0.187, 0.014",0.9382,General Feedback,Value for Money,26.546666666666667
5,2010-03-12,Strawberry Twizzlers - Yummy,The Strawberry Twizzlers are my guilty pleasure - yummy. Six pounds will be around for a while with my son and I.,Positive,the strawberry twizzlers are my guilty pleasure yummy six pounds will be around for a while with my son and i,strawberry twizzlers guilty pleasure yummy six pound around son,"joy, neutral, surprise","High, Low, Low","0.945, 0.034, 0.011",0.6486,General Feedback,General Feedback,31.72
5,2009-12-29,"Lots of twizzlers, just what you expect.",My daughter loves twizzlers and this shipment of six pounds really hit the spot. It's exactly what you would expect...six packages of strawberry twizzlers.,Positive,my daughter loves twizzlers and this shipment of six pounds really hit the spot it s exactly what you would expect six packages of strawberry twizzlers,daughter love twizzlers shipment six pound really hit spot exactly would expect six package strawberry twizzlers,"neutral, surprise, joy","Medium, Low, Low","0.551, 0.283, 0.135",0.6369,General Feedback,Value for Money,10.159999999999998
2,2012-09-20,poor taste,I love eating them and they are good for watching TV and looking at movies! It is not too sweet. I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them.,Negative,i love eating them and they are good for watching tv and looking at movies it is not too sweet i like to transfer them to a zip lock baggie so they stay fresh so i can take my time eating them,love eating good watching tv looking movie sweet like transfer zip lock baggie stay fresh take time eating,"joy, neutral, surprise","High, Low, Low","0.917, 0.045, 0.026",0.9313,"bar, snack, gluten, granola, husband, lunch, tasty, free, allergen, ridiculously",Durability,31.08666666666667
5,2012-08-16,Love it!,I am very satisfied with my Twizzler purchase.  I shared these with others and we have all enjoyed them.  I will definitely be ordering more.,Positive,i am very satisfied with my twizzler purchase i shared these with others and we have all enjoyed them i will definitely be ordering more,satisfied twizzler purchase shared others enjoyed definitely ordering,"joy, surprise, neutral","High, Low, Low","0.979, 0.009, 0.008",0.8807,General Feedback,Value for Money,32.81333333333333
5,2011-12-23,GREAT SWEET CANDY!,"Twizzlers, Strawberry my childhood favorite candy, made in Lancaster Pennsylvania by Y & S Candies, Inc. one of the oldest confectionery Firms in the United States, now a Subsidiary of the Hershey Company, the Company was established in 1845 as Young and Smylie, they also make Apple Licorice Twists, Green Color and Blue Raspberry Licorice Twists, I like them all<br /><br />I keep it in a dry cool place because is not recommended it to put it in the fridge. According to the Guinness Book of Records, the longest Licorice Twist ever made measured 1.200 Feet (370 M) and weighted 100 Pounds (45 Kg) and was made by Y & S Candies, Inc. This Record-Breaking Twist became a Guinness World Record on July 19, 1998. This Product is Kosher! Thank You",Positive,twizzlers strawberry my childhood favorite candy made in lancaster pennsylvania by y s candies inc one of the oldest confectionery firms in the united states now a subsidiary of the hershey company the company was established in 1845 as young and smylie they also make apple licorice twists green color and blue raspberry licorice twists i like them all br br i keep it in a dry cool place because is not recommended it to put it in the fridge according to the guinness book of records the longest licorice twist ever made measured 1 200 feet 370 m and weighted 100 pounds 45 kg and was made by y s candies inc this record breaking twist became a guinness world record on july 19 1998 this product is kosher thank you,twizzlers strawberry childhood favorite candy made lancaster pennsylvania candy inc one oldest confectionery firm united state subsidiary hershey company company established 1845 young smylie also make apple licorice twist green color blue raspberry licorice twist like br br keep dry cool place recommended put fridge according guinness book record longest licorice twist ever made measured 1 200 foot 370 weighted 100 pound 45 kg made candy inc record breaking twist became guinness world record july 19 1998 product kosher thank,"joy, surprise, neutral","Medium, Low, Low","0.589, 0.247, 0.115",0.9169,General Feedback,Product Quality,24.57333333333333
5,2011-10-08,Home delivered twizlers,Candy was delivered very fast and was purchased at a reasonable price.  I was home bound and unable to get to a store so this was perfect for me.,Positive,candy was delivered very fast and was purchased at a reasonable price i was home bound and unable to get to a store so this was perfect for me,candy delivered fast purchased reasonable price home bound unable get store perfect,"sadness, surprise, neutral","Low, Low, Low","0.465, 0.319, 0.161",0.5719,"candy, price, chocolate, shipping, amazon, product, gingerbread, store, fun, great",Value for Money,-9.120000000000005
5,2011-08-16,Always fresh,"My husband is a Twizzlers addict.  We've bought these many times from Amazon because we're government employees living overseas and can't get them in the country we are assigned to.  They've always been fresh and tasty, packed well and arrive in a timely manner.",Positive,my husband is a twizzlers addict we ve bought these many times from amazon because we re government employees living overseas and can t get them in the country we are assigned to they ve always been fresh and tasty packed well and arrive in a timely manner,husband twizzlers addict bought many time amazon government employee living overseas get country assigned always fresh tasty packed well arrive timely manner,"joy, neutral, surprise","Low, Low, Low","0.428, 0.37, 0.179",0.6249,"candy, price, chocolate, shipping, amazon, product, gingerbread, store, fun, great",Fast Delivery,17.846666666666668
5,2011-06-25,TWIZZLERS,"I bought these for my husband who is currently overseas. He loves these, and apparently his staff likes them also.<br />There are generous amounts of Twizzlers in each 16-ounce bag, and this was well worth the price. <a href=""http://www.amazon.com/gp/product/B001GVISJM"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a>",Positive,i bought these for my husband who is currently overseas he loves these and apparently his staff likes them also br there are generous amounts of twizzlers in each 16 ounce bag and this was well worth the price a href http www amazon com gp product b001gvisjm twizzlers strawberry 16 ounce bags pack of 6 a,bought husband currently overseas love apparently staff like also br generous amount twizzlers 16 ounce bag well worth price href http www amazon com gp product b001gvisjm twizzlers strawberry 16 ounce bag pack 6,"joy, surprise, neutral","Medium, Low, Low","0.602, 0.195, 0.178",0.9287,"candy, price, chocolate, shipping, amazon, product, gingerbread, store, fun, great",Value for Money,23.966666666666665
5,2011-05-09,Delicious product!,I can remember buying this candy as a kid and the quality hasn't dropped in all these years. Still a superb product you won't be disappointed with.,Positive,i can remember buying this candy as a kid and the quality hasn t dropped in all these years still a superb product you won t be disappointed with,remember buying candy kid quality dropped year still superb product disappointed,"sadness, surprise, neutral","Medium, Low, Low","0.748, 0.197, 0.029",0.25,"candy, price, chocolate, shipping, amazon, product, gingerbread, store, fun, great",Product Quality,-20.993333333333336
5,2011-05-04,Twizzlers,I love this candy.  After weight watchers I had to cut back but still have a craving for it.,Positive,i love this candy after weight watchers i had to cut back but still have a craving for it,love candy weight watcher cut back still craving,"neutral, surprise, sadness","Medium, Low, Low","0.531, 0.17, 0.164",0.4767,General Feedback,General Feedback,-2.066666666666667
5,2011-01-20,Please sell these in Mexico!!,"I have lived out of the US for over 7 yrs now, and I so miss my Twizzlers!!  When I go back to visit or someone visits me, I always stock up.  All I can say is YUM!<br />Sell these in Mexico and you will have a faithful buyer, more often than I'm able to buy them right now.",Positive,i have lived out of the us for over 7 yrs now and i so miss my twizzlers when i go back to visit or someone visits me i always stock up all i can say is yum br sell these in mexico and you will have a faithful buyer more often than i m able to buy them right now,lived u 7 yr miss twizzlers go back visit someone visit always stock say yum br sell mexico faithful buyer often able buy right,"joy, surprise, neutral","Low, Low, Low","0.311, 0.304, 0.207",0.3182,"candy, price, chocolate, shipping, amazon, product, gingerbread, store, fun, great",Value for Money,16.446666666666665
5,2010-10-29,Twizzlers - Strawberry,"Product received is as advertised.<br /><br /><a href=""http://www.amazon.com/gp/product/B001GVISJM"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a>",Positive,product received is as advertised br br a href http www amazon com gp product b001gvisjm twizzlers strawberry 16 ounce bags pack of 6 a,product received advertised br br href http www amazon com gp product b001gvisjm twizzlers strawberry 16 ounce bag pack 6,"neutral, joy, surprise","Low, Low, Low","0.409, 0.291, 0.26",0.1779,General Feedback,Value for Money,14.9
1,2012-03-25,Nasty No flavor,"The candy is just red , No flavor . Just  plan and chewy .  I would never buy them again",Negative,the candy is just red no flavor just plan and chewy i would never buy them again,candy red flavor plan chewy would never buy,"joy, neutral, surprise","Medium, Low, Low","0.593, 0.32, 0.036",0.0,General Feedback,Expensive Product,20.486666666666665
4,2012-03-16,Great Bargain for the Price,I was so glad Amazon carried these batteries.  I have a hard time finding them elsewhere because they are such a unique size.  I need them for my garage door opener.<br />Great deal for the price.,Positive,i was so glad amazon carried these batteries i have a hard time finding them elsewhere because they are such a unique size i need them for my garage door opener br great deal for the price,glad amazon carried battery hard time finding elsewhere unique size need garage door opener br great deal price,"surprise, sadness, neutral","Low, Low, Low","0.421, 0.312, 0.221",0.8126,"candy, price, chocolate, shipping, amazon, product, gingerbread, store, fun, great",Value for Money,-1.9800000000000004
5,2012-06-05,YUMMY!,"I got this for my Mum who is not diabetic but needs to watch her sugar intake, and my father who simply chooses to limit unnecessary sugar intake - she's the one with the sweet tooth - they both LOVED these toffees, you would never guess that they're sugar-free and it's so great that you can eat them pretty much guilt free!  i was so impressed that i've ordered some for myself (w dark chocolate) to take to the office so i'll eat them instead of snacking on sugary sweets.<br />These are just EXCELLENT!",Positive,i got this for my mum who is not diabetic but needs to watch her sugar intake and my father who simply chooses to limit unnecessary sugar intake she s the one with the sweet tooth they both loved these toffees you would never guess that they re sugar free and it s so great that you can eat them pretty much guilt free i was so impressed that i ve ordered some for myself w dark chocolate to take to the office so i ll eat them instead of snacking on sugary sweets br these are just excellent,got mum diabetic need watch sugar intake father simply chooses limit unnecessary sugar intake one sweet tooth loved toffee would never guess sugar free great eat pretty much guilt free impressed ordered w dark chocolate take office eat instead snacking sugary sweet br excellent,"joy, neutral, surprise","Low, Low, Low","0.394, 0.34, 0.137",0.9552,"sugar, use, agave, raw, nectar, fruit, mint, syrup, baking, better",Value for Money,15.873333333333337
5,2005-02-08,The Best Hot Sauce in the World,"I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind!  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away!  When we realized that we simply couldn't find it anywhere in our city we were bummed.<br /><br />Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it.<br /><br />If you love hot sauce..I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan.  Just realize that once you taste it, you will never want to use any other sauce.<br /><br />Thank you for the personal, incredible service!",Positive,i don t know if it s the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind we picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away when we realized that we simply couldn t find it anywhere in our city we were bummed br br now because of the magic of the internet we have a case of the sauce and are ecstatic because of it br br if you love hot sauce i mean really love hot sauce but don t want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan just realize that once you taste it you will never want to use any other sauce br br thank you for the personal incredible service,know cactus tequila unique combination ingredient flavour hot sauce make one kind picked bottle trip brought back home u totally blown away realized simply find anywhere city bummed br br magic internet case sauce ecstatic br br love hot sauce mean really love hot sauce want sauce tastelessly burn throat grab bottle tequila picante gourmet de inclan realize taste never want use sauce br br thank personal incredible service,"surprise, joy, neutral","Medium, Low, Low","0.648, 0.313, 0.016",0.9595,"sauce, hot, bottle, salsa, soy, make, meat, flavor, br, good",Product Quality,23.39333333333333
5,2005-02-08,The Best Hot Sauce in the World,"I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind!  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away!  When we realized that we simply couldn't find it anywhere in our city we were bummed.<br /><br />Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it.<br /><br />If you love hot sauce..I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan.  Just realize that once you taste it, you will never want to use any other sauce.<br /><br />Thank you for the personal, incredible service!",Positive,i don t know if it s the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind we picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away when we realized that we simply couldn t find it anywhere in our city we were bummed br br now because of the magic of the internet we have a case of the sauce and are ecstatic because of it br br if you love hot sauce i mean really love hot sauce but don t want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan just realize that once you taste it you will never want to use any other sauce br br thank you for the personal incredible service,know cactus tequila unique combination ingredient flavour hot sauce make one kind picked bottle trip brought back home u totally blown away realized simply find anywhere city bummed br br magic internet case sauce ecstatic br br love hot sauce mean really love hot sauce want sauce tastelessly burn throat grab bottle tequila picante gourmet de inclan realize taste never want use sauce br br thank personal incredible service,"surprise, joy, neutral","Medium, Low, Low","0.648, 0.313, 0.016",0.9595,"sauce, hot, bottle, salsa, soy, make, meat, flavor, br, good",Product Quality,23.39333333333333
5,2011-02-14,Great machine!,"I have never been a huge coffee fan. However, my mother purchased this little machine and talked me into trying the Latte Macciato. No Coffee Shop has a better one and I like most of the other products, too (as a usually non-coffee drinker!).<br />The little Dolche Guesto Machine is super easy to use and prepares a really good Coffee/Latte/Cappuccino/etc in less than a minute (if water is heated up). I would recommend the Dolce Gusto to anyone. Too good for the price and I'am getting one myself! :)",Positive,i have never been a huge coffee fan however my mother purchased this little machine and talked me into trying the latte macciato no coffee shop has a better one and i like most of the other products too as a usually non coffee drinker br the little dolche guesto machine is super easy to use and prepares a really good coffee latte cappuccino etc in less than a minute if water is heated up i would recommend the dolce gusto to anyone too good for the price and i am getting one myself,never huge coffee fan however mother purchased little machine talked trying latte macciato coffee shop better one like product usually non coffee drinker br little dolche guesto machine super easy use prepares really good coffee latte cappuccino etc less minute water heated would recommend dolce gusto anyone good price getting one,"surprise, joy, neutral","Low, Low, Low","0.377, 0.341, 0.221",0.9529,"coffee, cup, blend, mountain, weaver, kona, bean, one, green, br",Value for Money,18.90666666666667
5,2010-10-29,THIS IS MY TASTE...,"This offer is a great price and a great taste, thanks Amazon for selling this product.<br /><br />Staral",Positive,this offer is a great price and a great taste thanks amazon for selling this product br br staral,offer great price great taste thanks amazon selling product br br staral,"joy, neutral, surprise","High, Low, Low","0.903, 0.054, 0.034",0.9153,General Feedback,Value for Money,30.78
4,2006-11-13,Best of the Instant Oatmeals,"McCann's Instant Oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it. There is no escaping the fact, however, that even the best instant oatmeal is nowhere near as good as even a store brand of oatmeal requiring stovetop preparation.  Still, the McCann's is as good as it gets for instant oatmeal. It's even better than the organic, all-natural brands I have tried.  All the varieties in the McCann's variety pack taste good.  It can be prepared in the microwave or by adding boiling water so it is convenient in the extreme when time is an issue.<br /><br />McCann's use of actual cane sugar instead of high fructose corn syrup helped me decide to buy this product.  Real sugar tastes better and is not as harmful as the other stuff. One thing I do not like, though, is McCann's use of thickeners.  Oats plus water plus heat should make a creamy, tasty oatmeal without the need for guar gum. But this is a convenience product.  Maybe the guar gum is why, after sitting in the bowl a while, the instant McCann's becomes too thick and gluey.",Positive,mccann s instant oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it there is no escaping the fact however that even the best instant oatmeal is nowhere near as good as even a store brand of oatmeal requiring stovetop preparation still the mccann s is as good as it gets for instant oatmeal it s even better than the organic all natural brands i have tried all the varieties in the mccann s variety pack taste good it can be prepared in the microwave or by adding boiling water so it is convenient in the extreme when time is an issue br br mccann s use of actual cane sugar instead of high fructose corn syrup helped me decide to buy this product real sugar tastes better and is not as harmful as the other stuff one thing i do not like though is mccann s use of thickeners oats plus water plus heat should make a creamy tasty oatmeal without the need for guar gum but this is a convenience product maybe the guar gum is why after sitting in the bowl a while the instant mccann s becomes too thick and gluey,mccann instant oatmeal great must oatmeal scrape together two three minute prepare escaping fact however even best instant oatmeal nowhere near good even store brand oatmeal requiring stovetop preparation still mccann good get instant oatmeal even better organic natural brand tried variety mccann variety pack taste good prepared microwave adding boiling water convenient extreme time issue br br mccann use actual cane sugar instead high fructose corn syrup helped decide buy product real sugar taste better harmful stuff one thing like though mccann use thickener oat plus water plus heat make creamy tasty oatmeal without need guar gum convenience product maybe guar gum sitting bowl instant mccann becomes thick gluey,"neutral, joy, surprise","Medium, Low, Low","0.503, 0.341, 0.072",0.9323,"oatmeal, oat, mccann, instant, variety, good, cinnamon, minute, apple, better",Product Quality,12.806666666666668
4,2006-12-17,Good Instant,"This is a good instant oatmeal from the best oatmeal brand.  It uses cane sugar instead of high fructouse corn syrup, so not only does it have a better sweetness, but some doctors now say that this form of sugar is better for you.  Great on a cold morning when you don't have time to make McCann's Steel Cut Oats.  The apple cinnamon is the best but the maple and brown sugar or the regular are good too.  Plus they don't require doctoring to actually tell the three flavors apart.",Positive,this is a good instant oatmeal from the best oatmeal brand it uses cane sugar instead of high fructouse corn syrup so not only does it have a better sweetness but some doctors now say that this form of sugar is better for you great on a cold morning when you don t have time to make mccann s steel cut oats the apple cinnamon is the best but the maple and brown sugar or the regular are good too plus they don t require doctoring to actually tell the three flavors apart,good instant oatmeal best oatmeal brand us cane sugar instead high fructouse corn syrup better sweetness doctor say form sugar better great cold morning time make mccann steel cut oat apple cinnamon best maple brown sugar regular good plus require doctoring actually tell three flavor apart,"joy, neutral, surprise","Low, Low, Low","0.469, 0.422, 0.079",0.9781,"oatmeal, oat, mccann, instant, variety, good, cinnamon, minute, apple, better",Product Quality,17.213333333333335
